央视频道,#genre#
CCTV-1,http://ren.xuewen.plus:8008/udp/239.254.200.45:8008
CCTV-2,http://ren.xuewen.plus:8008/udp/239.254.200.158:6000
CCTV-3,http://ren.xuewen.plus:8008/udp/239.254.201.152:7205
CCTV-4,http://ren.xuewen.plus:8008/udp/239.254.200.190:6307
CCTV-5,http://ren.xuewen.plus:8008/udp/239.254.201.153:7206
CCTV-6,http://ren.xuewen.plus:8008/udp/239.254.201.154:7207
CCTV-7,http://ren.xuewen.plus:8008/udp/239.254.200.159:6000
CCTV-8,http://ren.xuewen.plus:8008/udp/239.254.201.155:7208
CCTV-9,http://ren.xuewen.plus:8008/udp/239.254.200.59:8112
CCTV-10,http://ren.xuewen.plus:8008/udp/239.254.200.160:6000
CCTV-11,http://ren.xuewen.plus:8008/udp/239.254.201.123:8120
CCTV-12,http://ren.xuewen.plus:8008/udp/239.254.200.161:6000
CCTV-13,http://ren.xuewen.plus:8008/udp/239.254.200.9:8264
CCTV-14,http://ren.xuewen.plus:8008/udp/239.254.200.162:6000
CCTV-15,http://ren.xuewen.plus:8008/udp/239.254.201.124:8136
CCTV-16,http://ren.xuewen.plus:8008/udp/239.254.200.61:6344
CCTV-17,http://ren.xuewen.plus:8008/udp/239.254.201.120:8144
CCTV5+高清,http://ren.xuewen.plus:8008/udp/239.254.200.46:8004

地方卫视,#genre#
河北卫视,http://ren.xuewen.plus:8008/udp/239.254.200.174:6000
湖南卫视,http://ren.xuewen.plus:8008/udp/239.254.200.48:8012
浙江卫视,http://ren.xuewen.plus:8008/udp/239.254.200.53:8036
江苏卫视,http://ren.xuewen.plus:8008/udp/239.254.200.51:8028
安徽卫视,http://ren.xuewen.plus:8008/udp/239.254.200.163:6000
东南卫视,http://ren.xuewen.plus:8008/udp/239.254.201.13:6291
北京卫视,http://ren.xuewen.plus:8008/udp/239.254.200.47:8024
天津卫视,http://ren.xuewen.plus:8008/udp/239.254.200.54:1234
辽宁卫视,http://ren.xuewen.plus:8008/udp/239.254.200.57:8056
山东卫视,http://ren.xuewen.plus:8008/udp/239.254.200.55:8052
云南卫视,http://ren.xuewen.plus:8008/udp/239.254.200.68:8108
河南卫视,http://ren.xuewen.plus:8008/udp/239.254.201.16:7174
黑龙江卫视,http://ren.xuewen.plus:8008/udp/239.254.200.49:8016
四川卫视,http://ren.xuewen.plus:8008/udp/239.254.200.202:6325
江西卫视,http://ren.xuewen.plus:8008/udp/239.254.201.12:6290
贵州卫视,http://ren.xuewen.plus:8008/udp/239.254.201.20:6315
深圳卫视,http://ren.xuewen.plus:8008/udp/239.254.200.50:8020
